MplusiD,age,gender,race,grade,aspiration,interest1,interest2,interest3,zip,median_income,percent_bachelors
1738,17,0,4,2,5,4,4,4, , , 
1738,17,0,4,11,5, , , ,85009,62223,32.3
1742,16,1,7, , , , , ,48430,46298,20.9
1746,17,1,2, , , , , ,19602,61058,23.8
1747,14,1,7,5,6,4,2,3, , , 
1747,14,1,7,8,6, , , ,72601, , 
1750,16,0,4,11,4, , , ,90245,65006,32.3
1751,16,0,7, , , , , ,60175,75628,32.4
1753,14,1,3, , , , , ,49224,45386,21.9
1754,15,0,4,3,6,4,3,3, , , 
1754,15,0,4,10,6, , , ,10989,88726,41
1758,14,1,4,7,2, , , ,33035,49930,29.3
1759,14,1,3,9,4, , , ,51501,58633,22.3
1760,14,1,7, , , , , ,78067, , 
1763,16,0,7, , , , , ,57066, , 
1765,17,1,7, , , , , ,24219, , 
1768,14,0,7,12,4, , , ,17102,61622,29.2
1770,14,0,7, , , , , ,15767, , 
1771,13,1,7, , , , , ,34691,51347,23.3
1772,17,0,4,2,2,5,5,5, , , 
1772,17,0,4,11,2, , , ,27614,77318,52.2
1776,16,1,2, , , , , ,43201,59227,38.7
1777,14,1,2, , , , , ,97370,60260,53.8
1778,17,1,7, , , , , ,95304,61164,18.9
1779,17,0,4,2,5,4,4,4, , , 
1779,17,0,4,11,5, , , ,29205,51946,37.4
1781,14,1,3,5,4,1,2,3, , , 
1781,14,1,3,8,4, , , ,85340,62223,32.3
1783,14,1,1,10,2, , , ,29376,50985,25.1
1786,16,1,5, , , , , ,64801,47981,22.9
1787,17,0,7, , , , , ,17901,49559,16.7
1788,15,1,3,4,5,3,2,3, , , 
1788,15,1,3,9,5, , , ,10001,85071,60.6
1789,16,0,4,3,5,3,2,3, , , 
1789,16,0,4,10,5, , , ,87124,54296,28.7
1790,15,1,7, , , , , ,17055,69301,37.4
1791,17,1,7, , , , , ,46311,54981,22.6
1792,17,1,7,10,2, , , ,43793, , 
1794,15,0,7, , , , , ,28174,77691,33.3
1798,13,1,3,7,6, , , ,30088,61827,42.7
1800,16,0,7, , , , , ,11766,94750,36.5
1801,13,1,7, , , , , ,80233,66517,22.9
1803,14,0,7,8, , , , ,91024,65006,32.3
1804,14,0,4,8,2, , , ,91950,76207,38.8
1808,17,1,7, , , , , ,92845,86217,40.3
1810,16,1,3,2,6,5,4,5, , , 
1810,16,1,3,11,6, , , ,75206,56718,30.6
1811,17,0,2, , , , , ,8052,87673,37.3
1812,17,1,2, , , , , ,73505,51059,24.2
1813,13,1,4,7,5, , , ,33174,49930,29.3
1815,15,0,7, , , , , ,97330,60260,53.8
1816,14,0,3,5,6,5,5,3, , , 
1816,14,0,3,8,6, , , ,29732,62217,34.6
1818,14,0,2, , , , , ,49048,56025,39.9
1820,13,0,4,7,6, , , ,33126,49930,29.3
1821,16,0,7,11,2, , , ,29579,45680,22.7
1823,17,0,4,11,6, , , ,95969,49061,26.6
1826,13,0,7, , , , , ,31501, , 
1827,17,1,4,11,6, , , ,76131,65052,31.4
1828,13,0,7,7,5, , , ,73538,51059,24.2
1834,16,0,7, , , , , ,48067,77475,47.4
1838,15,1,7,4,5,2,1,2, , , 
1838,15,1,7,9,5, , , ,19401,87304,50.2
1839,15,0,7, , , , , ,61550,60306,28.7
1842,15,0,3,4,5,5,5,5, , , 
1842,15,0,3,9,5, , , ,30253,67018,29.6
1844,13,0,7, , , , , ,52001,61497,33
1847,15,1,7, , , , , ,44102,46784,32.6
1849,16,1,4,10,3, , , ,91740,65006,32.3
1850,17,0,1,2,5,3,3,4, , , 
1850,17,0,1,11,5, , , ,77407,90845,46.7
1851,16,0,2, , , , , ,34116,66048,37
1852,14,0,4,4,6,1,1,1, , , 
1852,14,0,4,9,6, , , ,95628,63045,30.5
1853,17,0,3,1,5,4,4,3, , , 
1853,17,0,3,12,5, , , ,36330, , 
1854,14,0,7, , , , , ,30643, , 
1855,13,1,7, , , , , ,17967,49559,16.7
1856,14,0,4,9,5, , , ,1550,70402,36.5
1857,14,0,7, , , , , ,49034,56025,39.9
1860,17,1,1,1,6,4,4,4, , , 
1860,17,1,1,12,6, , , ,95120,119035,51.7
1861,16,0,4,2,5,4,5,5, , , 
1861,16,0,4,11,5, , , ,79915,44489,22.9
1862,13,0,7, , , , , ,89081,57189,24.4
1863,14,1,5, , , , , ,46978, , 
1865,16,1,7, , , , , ,63304,81594,39.4
1867,16,0,7,9,6, , , ,46714, , 
1868,17,1,3, , , , , ,90247,65006,32.3
1870,15,1,4,10,5, , , ,33810,48475,19
1871,14,0,2, , , , , ,32211,52062,29.4
1873,16,0,4,11,1, , , ,91335,65006,32.3
1874,14,1,7, , , , , ,17543,63407,28
1875,13,1,7, , , , , ,34479,43910,21.9
1876,15,1,7, , , , , ,76540, , 
1877,14,0,7,5,5,1,1,1, , , 
1877,14,0,7,8,5, , , ,47805,41125,23.1
1879,15,0,7,4,4,2,3,2, , , 
1879,15,0,7,9,4, , , ,49073, , 
1880,17,1,7, , , , , ,48146,45135,23.4
1881,15,1,4,4,5,4,3,3, , , 
1881,15,1,4,9,5, , , ,32095,73836,43.8
1882,16,0,1,3,6,4,4,4, , , 
1882,16,0,1,10,6, , , ,70119,36999,35.3
1885,13,1,2, , , , , ,10002,85071,60.6
1886,16, ,7, , , , , ,19406,87304,50.2
1887,15,0,3,8,2, , , ,23320,76629,35.1
1892,16,1,7, , , , , ,34639,51347,23.3
1895,16,1,3,11,6, , , ,85635,51816,24.7
1897,16,1,4,3,5,4,3,4, , , 
1897,16,1,4,10,5, , , ,90255,65006,32.3
1898,15,1,4,5,5,3,3,2, , , 
1898,15,1,4,8,5, , , ,79936,44489,22.9
1899,13,1,7, , , , , ,34745, , 
1900,16,1,3,9,5, , , ,71292,40161,23.6
1901,14,0,7, , , , , ,18704,51332,23.9
1902,14,0,7, , , , , ,95608,63045,30.5
1904,13,0,7, , , , , ,34758,49762,19.1
1905,14,1,7, , , , , ,50613,49779,28.2
1907,14,1,3,9,5, , , ,20866,103235,57.8
1912,13,0,3,7,6, , , ,94606,96296,46.4
1915,15,0,7, , , , , ,70115,36999,35.3
1918,14,1,7, , , , , ,60609,61405,38.6
1919,16,1,7,3,1,4,3,4, , , 
1919,16,1,7,10,1, , , ,70810,55326,35.1
1922,17,0,3,11,6, , , ,39815, , 
1927,17,0,7,11,6, , , ,37914,55266,37.3
1929,17,1,4,2,6,5,5,4, , , 
1929,17,1,4,11,6, , , ,19090,87304,50.2
1931,14,0,7, , , , , ,73034,51323,32.7
1939,17,0,7,11,5, , , ,46107,47344,32
1940,15,0,7, , , , , ,48611,44770,21.9
1943,13,1,7, , , , , ,37890, , 
1944,16,1,5, , , , , ,11566,108133,45.1
1945,15,0,7, , , , , ,97402,50654,31.1
1948,16,1,4,10,2, , , ,19120,39759,28.3
1949,14,1,7,7,5, , , ,76301,43295,22.3
1951,14,0,7, , , , , ,92610,86217,40.3
1955,16,1,3,10,2, , , ,12180,64050,31.8
1964,15,0,7, , , , , ,10312,79201,33.1
1965,17,0,2, , , , , ,34472,43910,21.9
1966,15,1,4,3,6,4,4,4, , , 
1966,15,1,4,10,6, , , ,32824,54107,34.1
1970,13,0,4,7,5, , , ,44004,44173,14.6
1971,16,0,4,11,1, , , ,32822,54107,34.1
1972,17,0,7,2,5,3,4,3, , , 
1972,17,0,7,11,5, , , ,50225, , 
1975,17,0,7, , , , , ,49707, , 
1980,15,0,2, , , , , ,14625,57561,37.3
1981,17,1,1,2,1,3,4,4, , , 
1981,17,1,1,11,1, , , ,94128,116653,51.6
1982,17,0,7, , , , , ,87301,31565,13.4
1984,16,3,8, , , , , ,29135, , 
1985,13,0,7,7,6, , , ,62427, , 
1986,14,1,7, , , , , ,45662,43367,16.7
1989,13,1,7, , , , , ,36278, , 
1990,15,0,7, , , , , ,13502,53902,23.6
1992,14,1,7,5,5,3,3,3, , , 
1992,14,1,7,8,5, , , ,85122,52788,19.5
1993,15,1,7,3,5,3,3,3, , , 
1993,15,1,7,10,5, , , ,44691,55899,22.3
1996,13,0,1,7,6, , , ,95843,63045,30.5
1997,17,0,3, , , , , ,6605,91198,47.1
1998,14,0,7,8,5, , , ,65781,45117,31.2
1999,13,1,7, , , , , ,88256, , 
2000,16,0,2, , , , , ,78209,54175,27.8
2001,13,0,3, , , , , ,77642,47657,18.9
2005,17,1,7, , , , , ,43934,54253,14.4
2008,14,1,4,5,5,5,4,4, , , 
2008,14,1,4,8,5, , , ,92394,60420,20.5
2010,15,0,7, , , , , ,71743, , 
2012,14,1,3,8,6, , , ,31324, , 
2014,17,1,3,1,2,3,4,3, , , 
2014,17,1,3,12,2, , , ,33980,52070,23.6
2017,14,1,7, , , , , ,83204,51612,29.5
2018,17,1,7, , , , , ,2171,100829,53.5
2020,17,0,2, , , , , ,978, , 
2021,15,1,3, , , , , ,60621,61405,38.6
2023,14,1,4,9, , , , ,11377,64509,30.9
2024,16,0,7,3,5,5,5,5, , , 
2024,16,0,7,10,5, , , ,76542,52479,26.9
2025,14,0,1,4,6,4,4,4, , , 
2025,14,0,1,9,6, , , ,57108, , 
2027,13,0,7, , , , , ,7724,98270,45.7
2028,13,1,7, , , , , ,10463,37397,19.6
2030,17,0,3,12,5, , , ,30083,61827,42.7
2031,15,1,4,11,2, , , ,74339, , 
2032,13,1,3,6,5, , , ,39194, , 
2033,16,1,7, , , , , ,61401, , 
2034,13,0,7, , , , , ,32207,52062,29.4
2035,14,0,7, , , , , ,50310,65995,35.3
2036,17,0,7, , , , , ,42345, , 
2038,14,0,4,5,6,3,2,2, , , 
2038,14,0,4,8,6, , , ,87111,51005,35.3
2040,14,1,7, , , , , ,33016,49930,29.3
2041,13,1,7, , , , , ,33009,56842,32.7
2042,17,0,3,2,5,1,2,3, , , 
2042,17,0,3,11,5, , , ,29204,51946,37.4
2043,17,0,7, , , , , ,8759,71081,30.5
2046,17,1,7, , , , , ,53066,82248,45.5
2049,15,0,7, , , , , ,62075, , 
2050,16,1,4,3,4,1,1,1, , , 
2050,16,1,4,10,4, , , ,93720,51800,20.4
2051,14,1,8, , , , , ,15845, , 
2053,15,1,7,8,5, , , ,27701,59891,48.4
2056,14,1,1,10,5, , , ,77096,58645,30.7
2058,13,1,7, , , , , ,15501,48846,14.4
2059,13,1,7,4,5,4,5,3, , , 
2059,13,1,7,9,5, , , ,10001,85071,60.6
2061,17,1,7,12,4, , , ,77521,58645,30.7
2063,15,1,1,8,6, , , ,60606,61405,38.6
2065,14,1,7, , , , , ,64079,74646,42.3
2066,17,0,7, , , , , ,44805, , 
2068,15,1,7, , , , , ,34448,43548,16.8
2070,14,1,4,5,6,4,4,5, , , 
2070,14,1,4,8,6, , , ,88001,37144,24.9
2072,16,0,7, , , , , ,46278,47344,32
2074,15,0,3,2,5,3,4,3, , , 
2074,15,0,3,11,5, , , ,98166,89675,51.5
2075,17,0,4,1,5,1,2,3, , , 
2075,17,0,4,12,5, , , ,60659,61405,38.6
2076,13,0,7,5,6,4,4,3, , , 
2076,13,0,7,8,6, , , ,63501, , 
2077,13,1,7, , , , , ,3102,78769,37.6
2081,17,1,7, , , , , ,45840,51360,27.8
2083,14,0,7, , , , , ,56001,56716,38.1
2084,15,0,4,4,5,4,3,4, , , 
2084,15,0,4,9,5, , , ,85013,62223,32.3
2086,15,0,7, , , , , ,30022,65037,51.2
2087,14,1,7, , , , , ,21009,80476,35.3
2090,16,1,7,11, , , , ,45121, , 
2092,17,0,1,12, , , , ,77377,58645,30.7
2101,14,0,1,4,6,5,5,5, , , 
2101,14,0,1,9,6, , , ,6051,70429,37.8
2106,14,1,4,5,2,1,1,1, , , 
2106,14,1,4,8,2, , , ,93648,51800,20.4
2107,17,1,7, , , , , ,85711,51425,33.6
2108,16,0,7, , , , , ,32703,54107,34.1
2110,17,0,2, , , , , ,32277,52062,29.4
2111,14,1,3, , , , , ,44035,54932,23.6
2112,14,1,7, , , , , ,97539,51409,28.4
2113,16,0,7, , , , , ,27592,77318,52.2
2115,15,1,7, , , , , ,29606, , 
2116,14,0,7, , , , , ,70769,70561,25.8
2118,13,1,7, , , , , ,20878,103235,57.8
2119,17,1,3,11,5, , , ,90008,65006,32.3
2121,14,1,1,5,6,2,2,2, , , 
2121,14,1,1,8,6, , , ,60169,61405,38.6
2122,17,1,7, , , , , ,99336,63346,29.8
2123,13,1,3, , , , , ,60009, , 
2125,14,0,3,8,5, , , ,28551, , 
2127,15,1,2, , , , , ,19135,39759,28.3
2128,14,1,7,5,6,5,5,5, , , 
2128,14,1,7,8,6, , , ,47712,46681,29.3
2129,14,0,7,8,2, , , ,47802,41125,23.1
2132,17,0,7, , , , , ,10009,85071,60.6
2134,13,1,7,7,3, , , ,52632, , 
2135,15,1,7, , , , , ,37214,58490,41.8
2136,15,0,4,8,6, , , ,78540, , 
2137,13,1,3,7,6, , , ,33714,51512,31.3
2139,14,0,7, , , , , ,75948, , 
2140,13,1,7, , , , , ,32703,54107,34.1
2141,13,0,7,7,5, , , ,2176,98555,56
2142,13,0,7, , , , , ,7083,77326,34.8
2144,15,0, , , , , , ,16508,50614,27.1
2145,17,0,2, , , , , ,2740,67842,28.9
2146,14,1,7, , , , , ,77494,90845,46.7
2147,13,0,7, , , , , ,14612,57561,37.3
2148,14,1,7, , , , , ,89031,57189,24.4
2149,17,1,7, , , , , ,64083,64595,26.5
2155,15,1,1,4,5,3,3,3, , , 
2155,15,1,1,9,5, , , ,98118,89675,51.5
2156,13,1,3,5,5,3,1,1, , , 
2156,13,1,3,8,5, , , ,46404,54981,22.6
2158,15,1,7,3,5,2,1,3, , , 
2158,15,1,7,10,5, , , ,45662,43367,16.7
2159,16,0,3,4,6,2,4,2, , , 
2159,16,0,3,9,6, , , ,18702,51332,23.9
2160,17,1,1,2,6,4,5,4, , , 
2160,17,1,1,11,6, , , ,55425,74592,50.2
2161,15,0,7, , , , , ,48843,80733,38.2
2162,15,1,7,4,5,2,3,3, , , 
2162,15,1,7,9,5, , , ,62471, , 
2164,15,0,4,9,5, , , ,78044,43408,17.1
2166,17,0,4,2,6,5,5,4, , , 
2166,17,0,4,11,6, , , ,33013,49930,29.3
2168,16,0,7,1,6,3,1,2, , , 
2168,16,0,7,12,6, , , ,24739, , 
2170,13,1,4,7,4, , , ,79835,44489,22.9
2171,16,1,3,9,3, , , ,71301,41646,21.1
2172,17,1,1,2,5,4,4,4, , , 
2172,17,1,1,11,5, , , ,90247,65006,32.3
2173,15,1,2, , , , , ,78577,37106,18.7
2174,14,1,4,5,5,4,4,4, , , 
2174,14,1,4,8,5, , , ,11793,108133,45.1
2175,13,0,4,7,3, , , ,77095,58645,30.7
2179,17,0,1,11,5, , , ,60062,61405,38.6
2181,14,1,2, , , , , ,77005,58645,30.7
2183,17,1,4,2,5,3,2,2, , , 
2183,17,1,4,11,5, , , ,93550,65006,32.3
2184,14,1,2, , , , , ,66048,70920,32.6
2185,16,0,4,2,5,3,3,3, , , 
2185,16,0,4,11,5, , , ,21220,73805,39.1
2190,14,1,1,10,5, , , ,77096,58645,30.7
2191,17,0,3,12,5, , , ,44223,55419,32.8
2192,13,1,7, , , , , ,28137, , 
2193,15,1,7, , , , , ,38320, , 
2198,13,1,7, , , , , ,32837,54107,34.1
2199,17,1,4,12,2, , , ,72204,52450,34.7
2201,13,0,7, , , , , ,92530,63944,22.2
2202,13,0,7, , , , , ,50315,65995,35.3
2203,15,1,1,3,5,5,4,4, , , 
2203,15,1,1,10,5, , , ,11214,56942,37.1
2204,13,0,7, , , , , ,23117, , 
2205,15,0,7, , , , , ,38362,45013,25.9
2206,15,0,4,10,5, , , ,12010, , 
2207,15,1,7,4,5,3,3,2, , , 
2207,15,1,7,9,5, , , ,35480,52313,32.6
2210,15,0,7, , , , , ,18232,49647,14.5
2211,17,0,3,2,6,1,1,1, , , 
2211,17,0,3,11,6, , , ,35124,73031,43.3
2212,15,0,4,4,5,2,2,3, , , 
2212,15,0,4,9,5, , , ,78223,54175,27.8
2214,15,0,3,10,6, , , ,90001,65006,32.3
2215,13,0,2, , , , , ,29902,58847,41.1
2216,14,1,7, , , , , ,28037,54361,21.8
2217,13,1,8, , , , , ,48103,70286,54.5
2221,13,1,7, , , , , ,34668,51347,23.3
2222,13,1,7, , , , , ,98102,89675,51.5
2223,16,0,7, , , , , ,91302,65006,32.3
2224,14,1,1,8,5, , , ,95822,63045,30.5
2225,17,0,7,11,3, , , ,35954,41576,19.3
2227,16,1,4,11,6, , , ,77459,90845,46.7
2228,16,1,7, , , , , ,1810,75480,39.9
2229,15,1,4,10, , , , ,43211,59227,38.7
2233,14,0,7,5,5,3,3,5, , , 
2233,14,0,7,8,5, , , ,27613,77318,52.2
2234,16,0,7,2,2,3,3,4, , , 
2234,16,0,7,11,2, , , ,70462,60471,16.4
2235,13,1,7, , , , , ,62629,61542,33
2236,13,1,7, , , , , ,47610, , 
2238,13,1,1,1,6,2,3,2, , , 
2238,13,1,1,12,6, , , ,95765,80728,37.2
2239,14,0,7, , , , , ,36532,55342,33.6
2241,16,1,7, , , , , ,75551, , 
2242,13,1,7, , , , , ,64157,66938,32.6
2243,15,1,7, , , , , ,19087,96656,52.3
2245,17,1,7, , , , , ,83318, , 
2248,17,1,7, , , , , ,48071,77475,47.4
2249,14,0,7,8,5, , , ,32134,43910,21.9
2250,14,0,7, , , , , ,64093, , 
2251,13,1,1,8,5, , , ,95131,119035,51.7
2253,16,1,7, , , , , ,89128,57189,24.4
2255,17,1,7, , , , , ,33139,49930,29.3
2261,13,0,3,7,5, , , ,75043,56718,30.6
2264,15,0,7, , , , , ,72858, , 
2265,17,0,3, , , , , ,7106,60430,35.6
2266,17,0,7,1,2,4,4,4, , , 
2266,17,0,7,12,2, , , ,17408,63519,25.3
2269,17,1,7, , , , , ,10016,85071,60.6
2271,15,1,7, , , , , ,11558,108133,45.1
2272,16,0,1,10,5, , , ,80109,111482,58.5
2273,16,0,7, , , , , ,10458,37397,19.6
2274,17,0,7,1,5,5,5,5, , , 
2274,17,0,7,12,5, , , ,4487,50349,29.1
2276,14,0,3,9,6, , , ,64134,52552,30.5
2289,14,1,7,7,2, , , ,76539,52769,16.9
2292,16,1,4,2,5,4,3,4, , , 
2292,16,1,4,11,5, , , ,90255,65006,32.3
2294,17,0,4,12,6, , , ,11435,64509,30.9
2296,14,1,3,5,5,2,1,1, , , 
2296,14,1,3,8,5, , , ,27704,59891,48.4
2299,15,0,7, , , , , ,6611,91198,47.1
2300,17,1,7, , , , , ,75217,56718,30.6
2301,13,0,7, , , , , ,7436,94107,48.9
2302,13,0,7, , , , , ,77662,58863,15.1
2306,16,1,7, , , , , ,28277,65588,46.1
2307,13,1,7, , , , , ,97214,63974,45.4
2309,16,1,3,11,6, , , ,60621,61405,38.6
2310,16,1,7, , , , , ,35226,50709,33.3
2311,15,0,7,9,5, , , ,44203,55419,32.8
2313,13,1,7, , , , , ,98112,89675,51.5
2316,17,0,7, , , , , ,36877,52943,33.4
2318,13,1,7, , , , , ,67039,64149,30.3
2319,17,0,1,1,6,4,3,4, , , 
2319,17,0,1,12,6, , , ,6340,71987,33.4
2326,17,0,7, , , , , ,32901,52540,30
2327,15,1,7, , , , , ,11221,56942,37.1
2328,13,0,7, , , , , ,31513, , 
2329,15,0,2, , , , , ,32607,44676,40.7
2332,15,0,3,4,5,3,3,3, , , 
2332,15,0,3,9,5, , , ,17404,63519,25.3
2333,13,1,7, , , , , ,28625,55690,27.4
2334,17,1,4,2,6,5,5,5, , , 
2334,17,1,4,11,6, , , ,10038,85071,60.6
2337,16,1,7, , , , , ,84037,80301,38.9
2338,15,1,7, , , , , ,32968,49177,30.4
2340,13,0,4,7,5, , , ,10604,90578,47.9
2342,15,0,7,4,6,3,3,3, , , 
2342,15,0,7,9,6, , , ,37342, , 
2343,17,1,1,1,5,5,5,5, , , 
2343,17,1,1,12,5, , , ,50263,88561,50.1
2345,17,1,7,11,3, , , ,44646,50984,22.1
2347,17,1,2, , , , , ,39120, , 
2350,13,0,1,5,6,5,5,2, , , 
2350,13,0,1,8,6, , , ,8520,79173,43.9
2353,17,0,2, , , , , ,66047,55646,47.3
2358,15,1,7, , , , , ,32312,51642,46.9
2359,15,0,7, , , , , ,86303,50041,23.7
2361,16,0,7, , , , , ,65401, , 
2362,13,0,2, , , , , ,97305,56354,23
2364,15,0,7,9,3, , , ,7463,94107,48.9
2366,15,1,6, , , , , ,34668,51347,23.3
2367,17,1,7, , , , , ,2035,100829,53.5
2371,13,1,4,7,6, , , ,33142,49930,29.3
2373,15,0,4,4,5,5,5,3, , , 
2373,15,0,4,9,5, , , ,32828,54107,34.1
2376,17,0,3,11,2, , , ,60637,61405,38.6
2378,16,1,7, , , , , ,45672, , 
2379,17,0,7,11,6, , , ,65637, , 
2382,17,0,4,12,6, , , ,54720,54963,32.8
2386,16,0,2, , , , , ,62301,48679,26.3
2388,13,0,1,8,6, , , ,31419,55352,32.7
2389,15,0,7, , , , , ,22039,118279,61.4
2392,14,0,2, , , , , ,6513,66863,34.2
2394,15,0,7,3,5,5,5,5, , , 
2394,15,0,7,10,5, , , ,32202,52062,29.4
2396,17,0,3,11, , , , ,29154,45585,19.6
2401,15,1,3,3,6,3,4,4, , , 
2401,15,1,3,10,6, , , ,91201,65006,32.3
2402,16,1,7, , , , , ,50162, , 
2403,16,1,4,4,3,3,3,4, , , 
2403,16,1,4,9,3, , , ,33617,54731,33.3
2405,16,0,7, , , , , ,48864,50896,38.5
2409,15,0,8, , , , , ,21205,47131,30.6
2413,13, ,4,7,5, , , ,95762,79414,34.2
2414,15,1,3,9,5, , , ,60185,89521,50.1
2424,15,0,7,9,5, , , ,27863,44347,20.3
2425,16,0, , , , , , ,22043,118279,61.4
2427,16,1,7,10,3, , , ,29532,37465,23.2
2428,15,0,3,4,6,3,4,3, , , 
2428,15,0,3,9,6, , , ,60621,61405,38.6
2432,13,0,7, , , , , ,24301, , 
2433,17,0,7, , , , , ,14609,57561,37.3
2435,17,1,4,4,5,4,4,4, , , 
2435,17,1,4,9,5, , , ,18706,51332,23.9
2437,17,1,1,12,5, , , ,35634,45352,24
2439,15,0,3,5,4,5,3,5, , , 
2439,15,0,3,8,4, , , ,28269,65588,46.1
2440,16,1,3,11,6, , , ,36604,46023,23
2441,14,0,4,5,6,3,3,3, , , 
2441,14,0,4,8,6, , , ,52175, , 
2443,15,1,1,10,3, , , ,1409, , 
2444,17,1,7,1,6,5,5,5, , , 
2444,17,1,7,12,6, , , ,14760,48484,20.1
2445,16,0,3, , , , , ,70043, , 
2446,14,1,7,5,2,4,1,4, , , 
2446,14,1,7,8,2, , , ,34689,51512,31.3
2447,16,1,7, , , , , ,26060, , 
2449,13,0,3,8,5, , , ,77449,58645,30.7
2450,14,0,7,5,5,5,5,5, , , 
2450,14,0,7,8,5, , , ,40769, , 
2451,15,1,7, , , , , ,67410, , 
2452,16,1,7, , , , , ,90009, , 
2453,17,1,7, , , , , ,55411,74592,50.2
2454,13,1,3,9,5, , , ,93535,65006,32.3
2458,15,1,1,9,6, , , ,98127, , 
2459,14,0,7, , , , , ,40701, , 
2460,14,1,7, , , , , ,7840,80657,33.3
2461,17,1,7, , , , , ,60645,61405,38.6
2463,15,0,4,9,5, , , ,35421, , 
2465,17,1,7, , , , , ,78228,54175,27.8
2467,14,0,7, , , , , ,30736,53231,17.9
2469,16,0,4,3,5,4,4,4, , , 
2469,16,0,4,10,5, , , ,95959,65385,36.9
2470,15,0,7,4,5,3,3,4, , , 
2470,15,0,7,9,5, , , ,32102,51383,24.6
2471,16,0,4,10,5, , , ,80241,66517,22.9
2472,13,0,7,7,5, , , ,17870, , 
2474,15,1,4,3,5,3,4,3, , , 
2474,15,1,4,10,5, , , ,85705,51425,33.6
2475,15,0,7,4,1,4,3,4, , , 
2475,15,0,7,9,1, , , ,53523,72268,51.5
2477,16,1,1,3,6,4,4,4, , , 
2477,16,1,1,10,6, , , ,91770,65006,32.3
2478,16,0,1,9, , , , ,6410,66863,34.2
2480,17,0,2, , , , , ,34744,49762,19.1
2481,15,1,7, , , , , ,32703,54107,34.1
2482,13,1,7,6,5, , , ,47546, , 
2484,15,0,4,10,5, , , ,34769,49762,19.1
2486,15,0,3,10,6, , , ,10466,37397,19.6
2487,13,0,7,5,5,3,4,3, , , 
2487,13,0,7,8,5, , , ,29550,37465,23.2
2488,13,0,7, , , , , ,3249, , 
2491,14,1,7, , , , , ,18235,49647,14.5
2493,16,0,2, , , , , ,64080,64595,26.5
2494,15,0,7, , , , , ,19131,39759,28.3
2496,16,1,3,9,2, , , ,45202,55048,37.3
2497,16,0,1,10,5, , , ,94521,95339,42.2
2499,15,0,7, , , , , ,15133,58625,41.4
2501,17,1,3, , , , , ,49265,56515,21.5
2502,14,0,3,5,2,3,2,2, , , 
2502,14,0,3,8,2, , , ,29448,64148,29.9
2506,16,1,7,2,6,3,3,3, , , 
2506,16,1,7,11,6, , , ,71106,36165,23.2
2507,14,0,7, , , , , ,49424,68543,34.1
2509,14,1,7, , , , , ,68144,61531,38.7
2511,16,1,7, , , , , ,18925,84749,41.4
2512,15,0,7, , , , , ,15026,54923,23.8
2515,14,0,2, , , , , ,46131,70339,34.2
2518,15,1,7,9,5, , , ,78559,36975,18.1
2519,17,0,7, , , , , ,44839,54958,25.2
2520,15,0,7, , , , , ,42431, , 
2521,15,0,4,4,5,3,5,5, , , 
2521,15,0,4,9,5, , , ,80127,80616,45.6
2522,16,1,4,3,6,2,3,3, , , 
2522,16,1,4,10,6, , , ,1105,51726,27.3
2523,15,0,1,4,5,3,3,3, , , 
2523,15,0,1,9,5, , , ,60137,89521,50.1
2525,13,1,7, , , , , ,32824,54107,34.1
2528,13,0,3, , , , , ,30064,75654,46.7
2530,16,0,7, , , , , ,33612,54731,33.3
2532,15,1,1,3,6,4,4,5, , , 
2532,15,1,1,10,6, , , ,77002,58645,30.7
2538,13,1,3,6,4, , , ,72209,52450,34.7
2539,15,1,7, , , , , ,92692,86217,40.3
2540,17,1,7, , , , , ,53081,58361,25.2
2541,16,1,7,10,5, , , ,65622, , 
2542,15,0,7, , , , , ,33612,54731,33.3
2543,13,1,7,1,5,4,3,5, , , 
2543,13,1,7,12,5, , , ,21536, , 
2545,13,1,1,7,4, , , ,11204,56942,37.1
2546,14,1,4,3,6,3,4,4, , , 
2546,14,1,4,10,6, , , ,7901,77326,34.8
2547,16,1,3, , , , , ,46260,47344,32
2549,17,1,7, , , , , ,75701,54339,26.8
2554,17,0,3,1,6,5,5,5, , , 
2554,17,0,3,12,6, , , ,29030, , 
2555,14,1,7,5,5,2,2,2, , , 
2555,14,1,7,8,5, , , ,43420, , 
2556,13,0,4,7,5, , , ,1721,98555,56
2560,14,1,7, , , , , ,60452,61405,38.6
2563,17,0,7, , , , , ,33914,53928,27.3
2565,13,1,4,7,5, , , ,18049,60871,29.4
2568,14,0,4,4,1,4,4,4, , , 
2568,14,0,4,9,1, , , ,46311,54981,22.6
2570,13,1,3,7,5, , , ,70737,70561,25.8
2571,13,0,7, , , , , ,77418, , 
2574,17,0,1,3,5,1,1,2, , , 
2574,17,0,1,10,5, , , ,95120,119035,51.7
2576,17,1,7,2,4,2,2,2, , , 
2576,17,1,7,11,4, , , ,80021,80616,45.6
2581,13,0,7, , , , , ,37334, , 
2584,16,1,4,11,6, , , ,17222,60459,23.7
2586,17,0,7, , , , , ,78065, , 
2587,15,0,2, , , , , ,85039, , 
2588,14,0,3,5,5,4,4,2, , , 
2588,14,0,3,8,5, , , ,77033,58645,30.7
2589,14,1,3,7,5, , , ,36856, , 
2592,16,0,7, , , , , ,26003, , 
2594,14,1,7, , , , , ,49519,61125,36.5
2597,15,0,4,9, , , , ,78251,54175,27.8
2601,13,0,1,8,5, , , ,8837,85337,44.5
